competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068
WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716
ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188
